,0
1375,600620.SH
1376,600653.SH
1377,600654.SH
1378,600730.SH
1379,600775.SH
1380,600780.SH
1381,600787.SH
1382,600821.SH
1383,600822.SH
1384,600827.SH
1385,600862.SH
1386,600875.SH
1387,600896.SH
1388,600998.SH
1389,601021.SH
1390,601339.SH
1391,601500.SH
1392,601601.SH
1393,601678.SH
1394,601811.SH
1395,601872.SH
1396,601880.SH
1397,603008.SH
1398,603101.SH
1399,603138.SH
1400,603196.SH
1401,603300.SH
1402,603421.SH
1403,601226.SH
1404,601313.SH
1405,601336.SH
1406,601388.SH
1407,601398.SH
1408,601788.SH
1409,601886.SH
1410,601958.SH
1411,601985.SH
1412,601992.SH
1413,603011.SH
1414,603016.SH
1415,603031.SH
1416,603100.SH
1417,603177.SH
1418,603226.SH
1419,603239.SH
1420,603269.SH
1421,603367.SH
1422,603378.SH
1423,603380.SH
1424,603399.SH
1425,603559.SH
1426,603599.SH
1427,603609.SH
1428,603665.SH
1429,603877.SH
1430,603899.SH
1431,603958.SH
1432,603960.SH
1433,603979.SH
1434,603986.SH
1435,603989.SH
1436,603990.SH
1437,000016.SZ
1438,000019.SZ
1439,000031.SZ
1440,000037.SZ
1441,000039.SZ
1442,000425.SZ
1443,000505.SZ
1444,000543.SZ
1445,000544.SZ
1446,000548.SZ
1447,000553.SZ
1448,000555.SZ
1449,000603.SZ
1450,000606.SZ
1451,000608.SZ
1452,000629.SZ
1453,000652.SZ
1454,000669.SZ
1455,000673.SZ
1456,000679.SZ
1457,000683.SZ
1458,000700.SZ
1459,000756.SZ
1460,000768.SZ
1461,601369.SH
1462,601588.SH
1463,601607.SH
1464,601616.SH
1465,601628.SH
1466,601689.SH
1467,601952.SH
1468,603019.SH
1469,603021.SH
1470,603025.SH
1471,603028.SH
1472,603085.SH
1473,603086.SH
1474,603089.SH
1475,603118.SH
1476,603123.SH
1477,603168.SH
1478,603180.SH
1479,603188.SH
1480,603223.SH
1481,603228.SH
1482,603299.SH
1483,603309.SH
1484,603336.SH
1485,603358.SH
1486,603368.SH
1487,603456.SH
1488,603496.SH
1489,603557.SH
1490,603616.SH
1491,603617.SH
1492,603799.SH
1493,603819.SH
1494,603826.SH
1495,603860.SH
1496,603885.SH
1497,603898.SH
1498,603903.SH
1499,603966.SH
1500,603991.SH
1501,000420.SZ
1502,000523.SZ
1503,000538.SZ
1504,000546.SZ
1505,000576.SZ
1506,000590.SZ
1507,000596.SZ
1508,000612.SZ
1509,000697.SZ
1510,000717.SZ
1511,000759.SZ
1512,000777.SZ
1513,000819.SZ
1514,000836.SZ
1515,000850.SZ
1516,000875.SZ
1517,000877.SZ
1518,000892.SZ
1519,000935.SZ
1520,603458.SH
1521,603515.SH
1522,603555.SH
1523,603577.SH
1524,603589.SH
1525,603600.SH
1526,603606.SH
1527,603638.SH
1528,603690.SH
1529,603717.SH
1530,603776.SH
1531,603833.SH
1532,603878.SH
1533,603880.SH
1534,603889.SH
1535,603938.SH
1536,603999.SH
1537,000005.SZ
1538,000008.SZ
1539,000009.SZ
1540,000063.SZ
1541,000078.SZ
1542,000403.SZ
1543,000510.SZ
1544,000517.SZ
1545,000530.SZ
1546,000533.SZ
1547,000554.SZ
1548,000586.SZ
1549,000601.SZ
1550,000613.SZ
1551,000639.SZ
1552,000670.SZ
1553,000677.SZ
1554,000682.SZ
1555,000688.SZ
1556,000695.SZ
1557,000698.SZ
1558,000702.SZ
1559,000723.SZ
1560,000725.SZ
1561,000779.SZ
1562,000796.SZ
1563,000851.SZ
1564,000861.SZ
1565,000869.SZ
1566,000880.SZ
1567,000882.SZ
1568,000890.SZ
1569,000893.SZ
1570,000938.SZ
1571,000959.SZ
1572,000962.SZ
1573,000976.SZ
1574,000981.SZ
1575,002004.SZ
1576,002035.SZ
1577,603181.SH
1578,603199.SH
1579,603222.SH
1580,603258.SH
1581,603316.SH
1582,603355.SH
1583,603538.SH
1584,603598.SH
1585,603601.SH
1586,603630.SH
1587,603813.SH
1588,603822.SH
1589,603855.SH
1590,603888.SH
1591,603968.SH
1592,000001.SZ
1593,000004.SZ
1594,000007.SZ
1595,000020.SZ
1596,000055.SZ
1597,000056.SZ
1598,000096.SZ
1599,000155.SZ
1600,000498.SZ
1601,000506.SZ
1602,000547.SZ
1603,000560.SZ
1604,000581.SZ
1605,000627.SZ
1606,000633.SZ
1607,000662.SZ
1608,000691.SZ
1609,000707.SZ
1610,000708.SZ
1611,000716.SZ
1612,000750.SZ
1613,000757.SZ
1614,000758.SZ
1615,000760.SZ
1616,000762.SZ
1617,000792.SZ
1618,000810.SZ
1619,000878.SZ
1620,000888.SZ
1621,000899.SZ
1622,000902.SZ
1623,000906.SZ
1624,000953.SZ
